state,st_2015,st_2005,st_2001,st_2011,nfhs_change,census_change
Andaman and Nicobar Islands,977.0,,,,,
Andhra Pradesh,1020.0,,978.0,993.0,,15.0
Arunachal Pradesh,958.0,930.0,893.0,938.0,28.0,45.0
Assam,993.0,1008.0,935.0,958.0,-15.0,23.0
Bihar,1062.0,1083.0,919.0,918.0,-21.0,-1.0
Chandigarh,934.0,,777.0,818.0,,41.0
Chhattisgarh,1019.0,1015.0,989.0,991.0,4.0,2.0
Dadra and Nagar Haveli,858.0,,812.0,774.0,,-38.0
Daman and Diu,734.0,,710.0,618.0,,-92.0
Delhi,849.0,814.0,821.0,868.0,35.0,47.0
Goa,1018.0,1028.0,961.0,973.0,-10.0,12.0
Gujarat,950.0,934.0,920.0,919.0,16.0,-1.0
Haryana,876.0,897.0,861.0,879.0,-21.0,18.0
Himachal Pradesh,1078.0,1070.0,968.0,972.0,8.0,4.0
Jammu and Kashmir,972.0,976.0,,,-4.0,
Jharkhand,1002.0,1022.0,941.0,948.0,-20.0,7.0
Karnataka,979.0,1028.0,965.0,973.0,-49.0,8.0
Kerala,1049.0,1124.0,1058.0,1084.0,-75.0,26.0
Lakshadweep,1038.0,,948.0,946.0,,-2.0
Madhya Pradesh,948.0,961.0,919.0,931.0,-13.0,12.0
Maharashtra,952.0,972.0,922.0,929.0,-20.0,7.0
Manipur,1049.0,1070.0,978.0,985.0,-21.0,7.0
Meghalaya,1005.0,1005.0,972.0,989.0,0.0,17.0
Mizoram,1013.0,1004.0,935.0,976.0,9.0,41.0
Nagaland,968.0,991.0,900.0,931.0,-23.0,31.0
Odisha,1036.0,1034.0,972.0,979.0,2.0,7.0
Puducherry,1068.0,,1001.0,1037.0,,36.0
Punjab,905.0,882.0,876.0,895.0,23.0,19.0
Rajasthan,973.0,957.0,921.0,928.0,16.0,7.0
Sikkim,942.0,936.0,875.0,890.0,6.0,15.0
Tamil Nadu,1033.0,1078.0,987.0,996.0,-45.0,9.0
Telangana,1007.0,,,,,
Tripura,998.0,1017.0,948.0,960.0,-19.0,12.0
Uttar Pradesh,995.0,987.0,898.0,912.0,8.0,14.0
Uttarakhand,1015.0,996.0,962.0,963.0,19.0,1.0
West Bengal,1011.0,1016.0,934.0,950.0,-5.0,16.0
West Bengal,1011.0,1016.0,934.0,950.0,-5.0,16.0
INDIA,,,933.0,943.0,,10.0
Jammu & Kashmir,,,892.0,889.0,,-3.0
Andaman & Nicobar islands,,,846.0,876.0,,30.0
